name,sector,website,description,dependency
SentinelOne,Cybersecurity AI,https://www.sentinelone.com,"Autonomous endpoint, cloud, and identity threat detection.",Unknown
Darktrace,Cybersecurity AI,https://darktrace.com,Self-learning cyber defense and anomaly detection.,Unknown
Vectra AI,Cybersecurity AI,https://www.vectra.ai,AI-driven network detection and response.,Unknown
Abnormal Security,Cybersecurity AI,https://abnormalsecurity.com,AI email security for phishing and account compromise.,Unknown
Snyk,Cybersecurity AI,https://snyk.io,AI-assisted application and code security.,Unknown
Wiz,Cybersecurity AI,https://www.wiz.io,Cloud security posture and threat detection platform.,Unknown
Orca Security,Cybersecurity AI,https://orca.security,Agentless cloud security and risk detection.,Unknown
Lacework,Cybersecurity AI,https://www.lacework.com,Cloud security using behavioral anomaly detection.,Unknown
ExtraHop,Cybersecurity AI,https://www.extrahop.com,Network detection and response with machine learning.,Unknown
Tessian,Cybersecurity AI,https://www.tessian.com,Human-layer email security using behavioral AI.,Unknown
Rubrik,Cybersecurity AI,https://www.rubrik.com,Cyber recovery and ransomware detection.,Unknown
Arctic Wolf,Cybersecurity AI,https://arcticwolf.com,Managed detection and response platform.,Unknown
Exabeam,Cybersecurity AI,https://www.exabeam.com,SIEM and user/entity behavior analytics.,Unknown
Rapid7,Cybersecurity AI,https://www.rapid7.com,"Exposure management, SIEM, and detection tools.",Unknown
Palo Alto Networks,Cybersecurity AI,https://www.paloaltonetworks.com,Enterprise security platform with AI threat detection.,Unknown
Check Point,Cybersecurity AI,https://www.checkpoint.com,"Network, cloud, and endpoint threat prevention.",Unknown
Fortinet,Cybersecurity AI,https://www.fortinet.com,AI-assisted network and endpoint security.,Unknown
Sophos,Cybersecurity AI,https://www.sophos.com,"Endpoint, MDR, and threat protection.",Unknown
Recorded Future,Cybersecurity AI,https://www.recordedfuture.com,Threat intelligence platform using AI analytics.,Unknown
Cybereason,Cybersecurity AI,https://www.cybereason.com,Endpoint detection and response platform using behavioral analytics.,Unknown
Harvey,Legal AI,https://www.harvey.ai,"Legal AI platform for research, drafting, due diligence, and workflows.",Azure OpenAI / GPT-4 / GPT-4 Turbo / o1 models publicly stated
Casetext,Legal AI,https://casetext.com,AI legal research and drafting tools.,OpenAI/GPT-4 publicly associated with CoCounsel
Everlaw,Legal AI,https://www.everlaw.com,AI-powered e-discovery and litigation platform.,Unknown
Relativity,Legal AI,https://www.relativity.com,E-discovery and legal data review platform.,Unknown
DISCO,Legal AI,https://www.csdisco.com,"AI e-discovery, legal hold, and case management.",Unknown
Evisort,Legal AI,https://www.evisort.com,AI contract lifecycle management.,Unknown
Ironclad,Legal AI,https://ironcladapp.com,Contract lifecycle management with AI contract review.,Unknown
LinkSquares,Legal AI,https://linksquares.com,AI contract analytics and CLM.,Unknown
Lexion,Legal AI,https://www.lexion.ai,Contract management and AI legal workflow platform.,Unknown
Spellbook,Legal AI,https://www.spellbook.legal,AI contract drafting and review for lawyers.,OpenAI/GPT-4 publicly referenced
Robin AI,Legal AI,https://www.robinai.com,AI contract review and legal assistant.,Anthropic Claude publicly associated
Kira Systems,Legal AI,https://kirasystems.com,Contract analysis and due diligence AI.,Unknown
Luminance,Legal AI,https://www.luminance.com,Legal document review and contract AI.,Unknown
Litera,Legal AI,https://www.litera.com,"Legal drafting, transaction, and document workflow tools.",Unknown
LexisNexis,Legal AI,https://www.lexisnexis.com,Legal research and analytics with generative AI.,Unknown / proprietary plus partner models not fully disclosed
Thomson Reuters,Legal AI,https://www.thomsonreuters.com,"Legal research, drafting, and professional AI tools.",Unknown / proprietary plus partner models not fully disclosed
vLex,Legal AI,https://vlex.com,Legal research platform with AI assistant Vincent.,Unknown
FiscalNote,Legal AI,https://fiscalnote.com,"Legal, policy, and regulatory intelligence.",Unknown
ContractPodAi,Legal AI,https://contractpodai.com,Contract lifecycle and legal AI assistant platform.,Unknown
Brightflag,Legal AI,https://brightflag.com,AI legal spend and matter management.,Unknown
Abridge,Healthcare AI,https://www.abridge.com,AI clinical documentation from patient conversations.,Unknown
Nuance,Healthcare AI,https://www.nuance.com,Clinical speech recognition and documentation AI.,Microsoft-owned; dependency not listed as vendor here
DeepScribe,Healthcare AI,https://www.deepscribe.ai,Ambient AI medical scribe.,Unknown
Suki,Healthcare AI,https://www.suki.ai,AI voice assistant for clinicians.,Unknown
Nabla,Healthcare AI,https://www.nabla.com,Ambient clinical AI assistant.,Unknown
Regard,Healthcare AI,https://www.regard.com,AI clinical insights and diagnosis support.,Unknown
Aidoc,Healthcare AI,https://www.aidoc.com,Radiology AI for imaging triage and detection.,Unknown
Viz.ai,Healthcare AI,https://www.viz.ai,AI care coordination for stroke and vascular disease.,Unknown
Qure.ai,Healthcare AI,https://www.qure.ai,AI medical imaging diagnostics.,Unknown
PathAI,Healthcare AI,https://www.pathai.com,AI pathology and diagnostic support.,Unknown
Tempus,Healthcare AI,https://www.tempus.com,AI precision medicine and oncology data platform.,Unknown
Owkin,Healthcare AI,https://www.owkin.com,AI drug discovery and biomedical research platform.,Unknown
Insilico Medicine,Healthcare AI,https://insilico.com,AI drug discovery and target identification.,Unknown
Biofourmis,Healthcare AI,https://www.biofourmis.com,AI remote patient monitoring and digital therapeutics.,Unknown
Cleerly,Healthcare AI,https://cleerlyhealth.com,AI cardiovascular imaging analysis.,Unknown
Paige,Healthcare AI,https://www.paige.ai,AI pathology platform.,Unknown
Arterys,Healthcare AI,https://www.arterys.com,Cloud-based medical imaging AI.,Unknown
Butterfly Network,Healthcare AI,https://www.butterflynetwork.com,AI-assisted ultrasound imaging.,Unknown
Freenome,Healthcare AI,https://www.freenome.com,AI multiomics cancer screening.,Unknown
Hippocratic AI,Healthcare AI,https://www.hippocraticai.com,Healthcare-focused generative AI agents.,Unknown
Upstart,Financial Services AI,https://www.upstart.com,AI lending and credit risk platform.,Unknown
